Section,Year,Graduate Type,State ,District ,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or more races,Econ Disadv
Annual Dropout Rate (Gr 9-12),2019-20,,1.60%,0.70%,0.20%,0.00%,0.50%,0.00%,0.00%,0.00%,*,1.00%,0.50%
Annual Dropout Rate (Gr 9-12),2018-19,,1.90%,0.80%,0.30%,1.00%,0.50%,0.20%,0.00%,0.00%,*,0.00%,0.60%
4-Year Longitudinal Rate (Gr 9-12),Class of 2020,Graduated,90.30%,94.40%,98.60%,100.00%,96.40%,100.00%,*,100.00%,-,100.00%,96.10%
4-Year Longitudinal Rate (Gr 9-12),Class of 2020,"Graduates, TxCHSE, & Cont",94.60%,97.30%,98.80%,100.00%,96.90%,100.00%,*,100.00%,-,100.00%,97.10%
4-Year Longitudinal Rate (Gr 9-12),Class of 2019,Graduated,90.00%,94.50%,98.80%,100.00%,98.60%,99.10%,*,100.00%,-,93.80%,97.00%
4-Year Longitudinal Rate (Gr 9-12),Class of 2019,"Graduates, TxCHSE, & Cont",94.10%,97.30%,99.00%,100.00%,98.60%,99.50%,*,100.00%,-,93.80%,97.00%
5-Year Extended Longitudinal Rate (Gr 9-12),Class of 2019,Graduated,92.00%,96.00%,99.00%,100.00%,98.60%,99.50%,*,100.00%,-,93.80%,97.00%
5-Year Extended Longitudinal Rate (Gr 9-12),Class of 2019,"Graduates, TxCHSE, & Cont",93.90%,97.20%,99.00%,100.00%,98.60%,99.50%,*,100.00%,-,93.80%,97.00%
5-Year Extended Longitudinal Rate (Gr 9-12),Class of 2018,Graduated,92.20%,95.80%,97.80%,95.00%,97.10%,98.30%,-,100.00%,*,100.00%,94.60%
5-Year Extended Longitudinal Rate (Gr 9-12),Class of 2018,"Graduates, TxCHSE, & Cont",93.90%,97.00%,98.00%,95.00%,97.10%,98.80%,-,100.00%,*,100.00%,95.50%
6-Year Extended Longitudinal Rate (Gr 9-12),Class of 2018,Graduated,92.60%,96.10%,97.80%,95.00%,97.10%,98.30%,-,100.00%,*,100.00%,94.70%
6-Year Extended Longitudinal Rate (Gr 9-12),Class of 2018,"Graduates, TxCHSE, & Cont",93.90%,97.10%,98.00%,95.00%,97.10%,98.80%,-,100.00%,*,100.00%,95.60%
6-Year Extended Longitudinal Rate (Gr 9-12),Class of 2017,Graduated,92.40%,95.80%,97.00%,96.30%,97.10%,97.20%,-,100.00%,-,90.90%,94.60%
6-Year Extended Longitudinal Rate (Gr 9-12),Class of 2017,"Graduates, TxCHSE, & Cont",93.70%,96.50%,97.80%,96.30%,98.00%,97.60%,-,100.00%,-,100.00%,96.10%
4-Year Federal Graduation Rate Without Exclusions (Gr 9-12),Class of 2020,,90.30%,92.80%,98.40%,100.00%,96.40%,99.60%,*,100.00%,-,100.00%,95.20%
4-Year Federal Graduation Rate Without Exclusions (Gr 9-12),Class of 2019,,90.00%,93.40%,98.40%,100.00%,98.20%,98.60%,*,100.00%,-,93.80%,97.00%
RHSP/DAP Graduates (Longitudinal Rate),Class of 2020,,83.00%,-,-,-,-,-,-,-,-,-,-
RHSP/DAP Graduates (Longitudinal Rate),Class of 2019,,73.30%,*,-,-,-,-,-,-,-,-,-
RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Longitudinal Rate),Class of 2020,,87.80%,93.70%,94.60%,100.00%,89.70%,97.70%,*,100.00%,-,92.90%,87.90%
RHSP/DAP/FHSP-E/FHSP-DLA Graduates (Longitudinal Rate),Class of 2019,,87.60%,92.30%,90.50%,75.00%,87.90%,95.30%,*,90.00%,-,80.00%,83.50%
"College, Career, and Military Ready (Annual Graduates)",2019-20,,63.00%,84.70%,93.60%,88.50%,88.40%,97.30%,*,100.00%,-,100.00%,84.80%
"College, Career, and Military Ready (Annual Graduates)",2018-19,,72.90%,85.50%,90.10%,81.80%,84.60%,96.20%,*,100.00%,-,86.70%,79.30%
SAT/ACT Results (Annual Graduates) Tested,2019-20,,76.70%,97.60%,100.00%,92.30%,100.00%,100.00%,*,100.00%,-,100.00%,100.00%
SAT/ACT Results (Annual Graduates) Tested,2018-19,,75.00%,70.20%,81.60%,68.20%,72.40%,88.30%,*,100.00%,-,93.30%,64.40%
SAT/ACT Results (Annual Graduates) Average SAT Score,2019-20,,1019,1058,1109,1007,1015,1178,*,1264,-,1148,976
SAT/ACT Results (Annual Graduates) Average SAT Score,2018-19,,1027,1126,1137,1006,1066,1213,*,1193,-,1099,1052
SAT/ACT Results (Annual Graduates) Average ACT Score,2019-20,,20.2,23.1,25.1,20.3,21.3,26.9,-,*,-,23.1,19.4
SAT/ACT Results (Annual Graduates) Average ACT Score,2018-19,,20.6,23.5,24.6,18.8,22,26.6,-,20.8,-,*,20.7
