Subject,Section,Year,State ,District ,Campus,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or more races,Econ Disadv
All Subjects,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2022,74%,73%,84%,70%,71%,94%,*,92%,*,90%,65%
All Subjects,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2021,67%,63%,87%,80%,75%,94%,100%,93%,*,92%,72%
ELA/Reading,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2022,75%,75%,83%,71%,68%,93%,*,92%,*,91%,62%
ELA/Reading,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2021,68%,66%,86%,77%,71%,95%,*,91%,*,85%,68%
Mathematics,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2022,72%,70%,74%,60%,59%,87%,-,86%,-,79%,53%
Mathematics,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2021,66%,59%,79%,58%,66%,87%,*,86%,-,91%,59%
Science,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2022,76%,75%,87%,73%,76%,96%,-,90%,-,90%,73%
Science,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2021,71%,66%,88%,86%,74%,95%,*,100%,-,100%,73%
Social Studies,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2022,75%,75%,95%,78%,91%,98%,*,100%,*,97%,84%
Social Studies,STAAR Performance Rates at Approaches Grade Level or Above (All Grades Tested),2021,73%,77%,96%,100%,91%,98%,-,91%,-,100%,90%
All Subjects,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2022,48%,50%,68%,46%,49%,81%,*,87%,*,74%,41%
All Subjects,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2021,41%,42%,71%,55%,54%,82%,88%,81%,*,81%,48%
ELA/Reading,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2022,53%,57%,72%,56%,53%,85%,*,83%,*,80%,45%
ELA/Reading,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2021,45%,47%,75%,58%,56%,87%,*,86%,*,78%,51%
Mathematics,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2022,42%,42%,45%,40%,28%,60%,-,79%,-,32%,22%
Mathematics,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2021,37%,34%,53%,25%,34%,64%,*,86%,-,73%,28%
Science,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2022,47%,49%,68%,27%,47%,83%,-,90%,-,81%,40%
Science,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2021,44%,43%,68%,50%,53%,78%,*,71%,-,78%,50%
Social Studies,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2022,50%,53%,84%,56%,71%,94%,*,100%,*,87%,65%
Social Studies,STAAR Performance Rates at Meets Grade Level or Above (All Grades Tested),2021,49%,58%,84%,79%,70%,92%,-,82%,-,95%,63%
All Subjects,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2022,23%,27%,27%,10%,16%,34%,*,45%,*,28%,11%
All Subjects,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2021,18%,20%,30%,12%,20%,36%,13%,31%,*,40%,12%
ELA/Reading,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2022,25%,31%,20%,7%,10%,26%,*,33%,*,24%,7%
ELA/Reading,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2021,18%,22%,23%,4%,14%,29%,*,14%,*,34%,8%
Mathematics,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2022,20%,22%,14%,8%,8%,18%,-,57%,-,14%,7%
Mathematics,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2021,18%,16%,12%,8%,5%,15%,*,43%,-,27%,3%
Science,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2022,21%,24%,24%,0%,13%,34%,-,50%,-,24%,9%
Science,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2021,20%,19%,25%,7%,17%,29%,*,43%,-,39%,7%
Social Studies,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2022,30%,35%,63%,33%,48%,75%,*,56%,*,58%,35%
Social Studies,STAAR Performance Rates at Masters Grade Level (All Grades Tested),2021,29%,39%,60%,36%,44%,73%,-,45%,-,60%,34%
Both Subjects,STAAR Assessment Participation (All Grades Tested),2022,74,76,75,67,68,80,-,84,-,68,66
Both Subjects,STAAR Assessment Participation (All Grades Tested),2019,69,68,70,52,65,74,-,68,-,83,59
ELA/Reading,STAAR Assessment Participation (All Grades Tested),2022,78,78,78,81,72,81,-,83,-,75,76
ELA/Reading,STAAR Assessment Participation (All Grades Tested),2019,68,68,73,50,69,76,-,81,-,89,62
Mathematics,STAAR Assessment Participation (All Grades Tested),2022,69,73,55,-,48,68,-,-,-,-,45
Mathematics,STAAR Assessment Participation (All Grades Tested),2019,70,68,63,55,60,69,-,-,-,74,55
